"","HDI.Rank","Country","HDI","LEaB","EYoE","MYoE","GNI","rank","GII.Rank","Gender.Inequality.Index..GII.","Maternal.Mortality.Ratio","Adolescent.Birth.Rate","Percent.Representation.in.Parliament","edu2F","edu2M","laF","laM","R_Fe_Ma_p","ratio_lfpofF_M"
"1",1,"Norway",0.944,81.6,17.5,12.6,"64,992",5,1,0.067,4,7.8,39.6,97.4,96.7,61.2,68.7,97.05,64.95
"2",2,"Australia",0.935,82.4,20.2,13,"42,261",17,2,0.11,6,12.1,30.5,94.3,94.6,58.8,71.8,94.45,65.3
"3",3,"Switzerland",0.93,83,15.8,12.8,"56,431",6,3,0.028,6,1.9,28.5,95,96.6,61.8,74.9,95.8,68.35
"4",4,"Denmark",0.923,80.2,18.7,12.7,"44,025",11,4,0.048,5,5.1,38,95.5,96.6,58.7,66.4,96.05,62.55
"5",5,"Netherlands",0.922,81.6,17.9,11.9,"45,435",9,5,0.062,6,6.2,36.9,87.7,90.5,58.5,70.6,89.1,64.55
"6",6,"Germany",0.916,80.9,16.5,13.1,"43,919",11,6,0.041,7,3.8,36.9,96.3,97,53.6,66.4,96.65,60
"7",6,"Ireland",0.916,80.9,18.6,12.2,"39,568",16,6,0.113,9,8.2,19.9,80.5,78.6,53.1,68.1,79.55,60.6
"8",8,"United States",0.915,79.1,16.5,12.9,"52,947",3,8,0.28,28,31,19.4,95.1,94.8,56.3,68.9,94.95,62.6
"9",9,"Canada",0.913,82,15.9,13,"42,155",11,9,0.129,11,14.5,28.2,100,100,61.6,71,100,66.3
"10",9,"New Zealand",0.913,81.8,19.2,12.5,"32,689",23,9,0.157,8,25.3,31.4,95,95.3,62,73.8,95.15,67.9
"11",11,"Singapore",0.912,83,15.4,10.6,"76,628",-7,11,0.088,6,6,25.3,74.1,81,58.8,77.2,77.55,68
"12",12,"Hong Kong, China (SAR)",0.91,84,15.6,11.2,"53,959",-2,12,NA,NA,3.3,NA,72.2,79.2,51.3,67.8,75.7,59.55
"13",13,"Liechtenstein",0.908,80,15,11.8,"79,851",-10,13,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
"14",14,"Sweden",0.907,82.2,15.8,12.1,"45,636",-1,14,0.055,4,6.5,43.6,86.5,87.3,60.3,67.9,86.9,64.1
"15",14,"United Kingdom",0.907,80.7,16.2,13.1,"39,267",9,14,0.177,8,25.8,23.5,99.8,99.9,55.7,68.7,99.85,62.2
"16",16,"Iceland",0.899,82.6,19,10.6,"35,182",12,16,0.087,4,11.5,41.3,91,91.6,70.5,77.4,91.3,73.95
"17",17,"Korea (Republic of)",0.898,81.9,16.9,11.9,"33,890",13,17,0.125,27,2.2,16.3,77,89.1,50.1,72.1,83.05,61.1
"18",18,"Israel",0.894,82.4,16,12.5,"30,676",16,18,0.101,2,7.8,22.5,84.4,87.3,57.9,69.1,85.85,63.5
"19",19,"Luxembourg",0.892,81.7,13.9,11.7,"58,711",-11,19,0.1,11,8.3,28.3,100,100,50.7,64.6,100,57.65
"20",20,"Japan",0.891,83.5,15.3,11.5,"36,927",7,20,0.133,6,5.4,11.6,87,85.8,48.8,70.4,86.4,59.6
"21",21,"Belgium",0.89,80.8,16.3,11.3,"41,187",0,21,0.063,6,6.7,42.4,77.5,82.9,47.5,59.3,80.2,53.4
"22",22,"France",0.888,82.2,16,11.1,"38,056",4,22,0.088,12,5.7,25.7,78,83.2,50.7,61.6,80.6,56.15
"23",23,"Austria",0.885,81.4,15.7,10.8,"43,869",-5,23,0.053,4,4.1,30.3,100,100,54.6,67.7,100,61.15
"24",24,"Finland",0.883,80.8,17.1,10.3,"38,695",0,24,0.075,4,9.2,42.5,100,100,55.7,64,100,59.85
"25",25,"Slovenia",0.88,80.4,16.8,11.9,"27,852",12,25,0.016,7,0.6,27.7,95.8,98,52.3,63.2,96.9,57.75
"26",26,"Spain",0.876,82.6,17.3,9.6,"32,045",7,26,0.095,4,10.6,38,66.8,73.1,52.5,65.8,69.95,59.15
"27",27,"Italy",0.873,83.1,16,10.1,"33,030",4,27,0.068,4,4,30.1,71.2,80.5,39.6,59.5,75.85,49.55
"28",28,"Czech Republic",0.87,78.6,16.4,12.3,"26,660",10,28,0.091,5,4.9,18.9,99.9,99.7,51.1,68.3,99.8,59.7
"29",29,"Greece",0.865,80.9,17.6,10.3,"24,524",14,29,0.146,5,11.9,21,59.5,67,44.2,62.5,63.25,53.35
"30",30,"Estonia",0.861,76.8,16.5,12.5,"25,214",12,30,0.164,11,16.8,19.8,100,100,56.2,68.9,100,62.55
"31",31,"Brunei Darussalam",0.856,78.8,14.5,8.8,"72,570",-26,31,NA,27,23,NA,63.9,67.8,52.6,75.3,65.85,63.95
"32",32,"Cyprus",0.85,80.2,14,11.6,"28,633",3,32,0.124,10,5.5,12.5,76,81.7,56,71.1,78.85,63.55
"33",32,"Qatar",0.85,78.2,13.8,9.1,"123,124",-31,32,0.524,6,9.5,0,66.7,59,50.8,95.5,62.85,73.15
"34",34,"Andorra",0.845,81.3,13.5,9.6,"43,978",-18,34,NA,NA,NA,50,49.5,49.3,NA,NA,49.4,NA
"35",35,"Slovakia",0.844,76.3,15.1,12.2,"25,845",5,35,0.164,7,15.9,18.7,99.1,99.5,51.1,68.6,99.3,59.85
"36",36,"Poland",0.843,77.4,15.5,11.8,"23,177",10,36,0.138,3,12.2,22.1,79.4,85.5,48.9,64.9,82.45,56.9
"37",37,"Lithuania",0.839,73.3,16.4,12.4,"24,500",7,37,0.125,11,10.6,23.4,89.1,94.3,55.8,67.3,91.7,61.55
"38",37,"Malta",0.839,80.6,14.4,10.3,"27,930",-1,37,0.227,9,18.2,13,68.6,78.2,37.9,66.3,73.4,52.1
"39",39,"Saudi Arabia",0.837,74.3,16.3,8.7,"52,821",-27,39,0.284,16,10.2,19.9,60.5,70.3,20.2,78.3,65.4,49.25
"40",40,"Argentina",0.836,76.3,17.9,9.8,"22,050",11,40,0.376,69,54.4,36.8,56.3,57.6,47.5,75,56.95,61.25
"41",41,"United Arab Emirates",0.835,77,13.3,9.5,"60,868",-34,41,0.232,8,27.6,17.5,73.1,61.2,46.5,92,67.15,69.25
"42",42,"Chile",0.832,81.7,15.2,9.8,"21,290",11,42,0.338,22,55.3,15.8,73.3,76.4,49.2,74.8,74.85,62
"43",43,"Portugal",0.83,80.9,16.3,8.2,"25,757",-2,43,0.111,8,12.6,31.3,47.7,48.2,54.9,66.2,47.95,60.55
"44",44,"Hungary",0.828,75.2,15.4,11.6,"22,916",3,44,0.209,14,12.1,10.1,97.9,98.7,44.8,60,98.3,52.4
"45",45,"Bahrain",0.824,76.6,14.4,9.4,"38,599",-20,45,0.265,22,13.8,15,56.7,51.4,39.2,86.9,54.05,63.05
"46",46,"Latvia",0.819,74.2,15.2,11.5,"22,281",4,46,0.167,13,13.5,18,98.9,99,54.9,67.6,98.95,61.25
"47",47,"Croatia",0.818,77.3,14.8,11,"19,409",11,47,0.149,13,12.7,25.8,85,93.6,44.7,58.4,89.3,51.55
"48",48,"Kuwait",0.816,74.4,14.7,7.2,"83,961",-46,48,0.387,14,14.5,1.5,55.6,56.3,43.6,83.1,55.95,63.35
"49",49,"Montenegro",0.802,76.2,15.2,11.2,"14,558",27,49,0.171,7,15.2,17.3,84.2,94.7,43,57.3,89.45,50.15
"50",50,"Belarus",0.798,71.3,15.7,12,"16,676",14,50,0.151,1,20.6,30.1,87,92.2,50.1,63.1,89.6,56.6
"51",50,"Russian Federation",0.798,70.1,14.7,12,"22,352",-1,50,0.276,24,25.7,14.5,89.6,92.5,57.1,71.7,91.05,64.4
"52",52,"Oman",0.793,76.8,13.6,8,"34,858",-23,52,0.275,11,10.6,9.6,47.2,57.1,29,82.6,52.15,55.8
"53",52,"Romania",0.793,74.7,14.2,10.8,"18,108",10,52,0.333,33,31,12,86.1,92,48.7,64.9,89.05,56.8
"54",52,"Uruguay",0.793,77.2,15.5,8.5,"19,283",7,52,0.313,14,58.3,11.5,54.4,50.3,55.6,76.8,52.35,66.2
"55",55,"Bahamas",0.79,75.4,12.6,10.9,"21,336",-3,55,0.298,37,28.5,16.7,91.2,87.6,69.3,79.3,89.4,74.3
"56",56,"Kazakhstan",0.788,69.4,15,11.4,"20,867",-1,56,0.267,26,29.9,20.1,95.3,98.8,67.7,77.9,97.05,72.8
"57",57,"Barbados",0.785,75.6,15.4,10.5,"12,488",27,57,0.357,52,48.4,19.6,89.5,87.7,65.9,76.6,88.6,71.25
"58",58,"Antigua and Barbuda",0.783,76.1,14,9.2,"20,070",-1,58,NA,NA,49.3,25.7,NA,NA,NA,NA,NA,NA
"59",59,"Bulgaria",0.782,74.2,14.4,10.6,"15,596",13,59,0.212,5,35.9,20.4,93,95.7,47.9,59,94.35,53.45
"60",60,"Palau",0.78,72.7,13.7,12.3,"13,496",18,60,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA
"61",60,"Panama",0.78,77.6,13.3,9.3,"18,192",1,60,0.454,85,78.5,19.3,54,49.9,49,81.8,51.95,65.4
"62",62,"Malaysia",0.779,74.7,12.7,10,"22,762",-14,62,0.209,29,5.7,14.2,65.1,71.3,44.4,75.5,68.2,59.95
"63",63,"Mauritius",0.777,74.4,15.6,8.5,"17,470",0,63,0.419,73,30.9,11.6,49.4,58,43.6,74.2,53.7,58.9
"64",64,"Seychelles",0.772,73.1,13.4,9.4,"23,300",-19,64,NA,NA,56.3,43.8,66.9,66.6,NA,NA,66.75,NA
"65",64,"Trinidad and Tobago",0.772,70.4,12.3,10.9,"26,090",-25,64,0.371,84,34.8,24.7,59.7,60.9,53,75.5,60.3,64.25
"66",66,"Serbia",0.771,74.9,14.4,10.5,"12,190",20,66,0.176,16,16.9,34,58.4,73.6,44.5,60.9,66,52.7
"67",67,"Cuba",0.769,79.4,13.8,11.5,"7,301",47,67,0.356,80,43.1,48.9,74.3,78.8,43.4,70,76.55,56.7
"68",67,"Lebanon",0.769,79.3,13.8,7.9,"16,509",-1,67,0.385,16,12,3.1,53,55.4,23.3,70.9,54.2,47.1
"69",69,"Costa Rica",0.766,79.4,13.9,8.4,"13,413",10,69,0.349,38,60.8,33.3,50.7,50.5,46.6,79,50.6,62.8
"70",69,"Iran (Islamic Republic of)",0.766,75.4,15.1,8.2,"15,440",4,69,0.515,23,31.6,3.1,62.2,67.6,16.6,73.6,64.9,45.1
"71",71,"Venezuela (Bolivarian Republic of)",0.762,74.2,14.2,8.9,"16,159",-2,71,0.476,110,83.2,17,56.6,50.8,51.1,79.2,53.7,65.15
"72",72,"Turkey",0.761,75.3,14.5,7.6,"18,677",-12,72,0.359,20,30.9,14.4,39,60,29.4,70.8,49.5,50.1
"73",73,"Sri Lanka",0.757,74.9,13.7,10.8,"9,779",29,73,0.37,29,16.9,5.8,72.7,76.4,35.1,76.3,74.55,55.7
"74",74,"Mexico",0.756,76.8,13.1,8.5,"16,056",-4,74,0.373,49,63.4,37.1,55.7,60.6,45.1,79.9,58.15,62.5
"75",75,"Brazil",0.755,74.5,15.2,7.7,"15,175",-1,75,0.457,69,70.8,9.6,54.6,52.4,59.4,80.8,53.5,70.1
"76",76,"Georgia",0.754,74.9,13.8,12.1,"7,164",40,76,0.382,41,46.8,11.3,89.7,92.7,56.5,75.1,91.2,65.8
"77",77,"Saint Kitts and Nevis",0.752,73.8,12.9,8.4,"20,805",-21,77,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA
"78",78,"Azerbaijan",0.751,70.8,11.9,11.2,"16,428",-11,78,0.303,26,40,15.6,93.7,97.4,62.9,69.6,95.55,66.25
"79",79,"Grenada",0.75,73.4,15.8,8.6,"10,939",14,79,NA,23,35.4,25,NA,NA,NA,NA,NA,NA
"80",80,"Jordan",0.748,74,13.5,9.9,"11,365",11,80,0.473,50,26.5,11.6,69.5,78.5,15.6,66.6,74,41.1
"81",81,"The former Yugoslav Republic of Macedonia",0.747,75.4,13.4,9.3,"11,780",9,81,0.164,7,18.3,33.3,40.2,55.6,43.1,67.5,47.9,55.3
"82",81,"Ukraine",0.747,71,15.1,11.3,"8,178",25,81,0.286,23,25.7,11.8,91.7,95.9,53.2,66.9,93.8,60.05
"83",83,"Algeria",0.736,74.8,14,7.6,"13,054",-1,83,0.413,89,10,25.7,26.7,31,15.2,72.2,28.85,43.7
"84",84,"Peru",0.734,74.6,13.1,9,"11,015",8,84,0.406,89,50.7,22.3,56.3,66.1,68.2,84.4,61.2,76.3
"85",85,"Albania",0.733,77.8,11.8,9.3,"9,943",14,85,0.217,21,15.3,20.7,81.8,87.9,44.9,65.5,84.85,55.2
"86",85,"Armenia",0.733,74.7,12.3,10.9,"8,124",22,85,0.318,29,27.1,10.7,94,95,54.2,72.6,94.5,63.4
"87",85,"Bosnia and Herzegovina",0.733,76.5,13.6,8.3,"9,638",19,85,0.201,8,15.1,19.3,44.9,69.8,34.1,57.3,57.35,45.7
"88",88,"Ecuador",0.732,75.9,14.2,7.6,"10,605",7,88,0.407,87,77,41.6,40.1,39.4,54.7,82.7,39.75,68.7
"89",89,"Saint Lucia",0.729,75.1,12.6,9.3,"9,765",14,89,NA,34,56.3,20.7,NA,NA,62.7,76.2,NA,69.45
"90",90,"China",0.727,75.8,13.1,7.5,"12,547",-7,90,0.191,32,8.6,23.6,58.7,71.9,63.9,78.3,65.3,71.1
"91",90,"Fiji",0.727,70,15.7,9.9,"7,493",21,90,0.418,59,42.8,14,64.2,64.5,37.5,72,64.35,54.75
"92",90,"Mongolia",0.727,69.4,14.6,9.3,"10,729",4,90,0.325,68,18.7,14.9,85.3,84.1,56.6,69.3,84.7,62.95
"93",93,"Thailand",0.726,74.4,13.5,7.3,"13,323",-13,93,0.38,26,41,6.1,35.7,40.8,64.3,80.7,38.25,72.5
"94",94,"Dominica",0.724,77.8,12.7,7.9,"9,994",4,94,NA,NA,NA,21.9,29.7,23.2,NA,NA,26.45,NA
"95",94,"Libya",0.724,71.6,14,7.3,"14,911",-19,94,0.134,15,2.5,16,55.5,41.9,30,76.4,48.7,53.2
"96",96,"Tunisia",0.721,74.8,14.6,6.8,"10,404",1,96,0.24,46,4.6,31.3,32.8,46.1,25.1,70.9,39.45,48
"97",97,"Colombia",0.72,74,13.5,7.3,"12,040",-9,97,0.429,83,68.5,20.9,56.9,55.6,55.8,79.7,56.25,67.75
